code,name,plate,sector,market_cap
1378,中国宏桥,铝,Basic Materials,362727487864.28
2899,紫金矿业,黄金及贵金属,Basic Materials,1088051880088.8
1208,五矿资源(铜锌钴金银钼铅),铜,Basic Materials,113.27 B HKD
2788,创新实业(电解铝氧化铝),铝,Basic Materials,56.61 B HKD
0323,马鞍山钢铁股份,钢铁,Basic Materials,31.79 B HKD
3858,佳鑫国际资源(钨),其他金属及矿物,Basic Materials,35.04 B HKD
1164,中广核矿业(铀),其他金属及矿物,Basic Materials,29.95 B HKD
3993,洛阳钼业,其他金属及矿物,Basic Materials,4.604056e+11
1772,赣锋锂业,其他金属及矿物,Basic Materials,1.357610e+11
0762,中国联通,电讯服务,Communication Services,232239763778.55
0941,中国移动,电讯服务,Communication Services,1714252843670.4
0728,中国电信,电讯服务,Communication Services,469431621525.87
1045,亚太卫星,卫星及无线通讯,Communication Services,3.825719e+09
1928,金沙中国有限公司,赌场及博彩,Consumer Cyclical,148918184014.4
1929,周大福,其他零售商,Consumer Cyclical,135248390466.0
2015,理想汽车-W,汽车,Consumer Cyclical,127073203682.4
9992,泡泡玛特,玩具及消闲用品,Consumer Cyclical,260795988360.0
1044,恒安国际,个人护理,Consumer Cyclical,32363687165.96
0881,中升控股,汽车零售商,Consumer Cyclical,29256044146.68
0669,创科实业,家庭电器,Consumer Cyclical,185298967023.3
0300,美的集团,家庭电器,Consumer Cyclical,664134901500.0
0001,长和,综合企业,Consumer Cyclical,234973230075.0
9618,京东集团-SW,线上零售商,Consumer Cyclical,320126400000.0
9988,阿里巴巴-W,线上零售商,Consumer Cyclical,3116999667907.2
9961,携程集团-S,旅游及观光,Consumer Cyclical,315429016283.2
9901,新东方-S,教育,Consumer Cyclical,68464500488.46
0175,吉利汽车,汽车,Consumer Cyclical,182556462724.75
6690,海尔智家,家庭电器,Consumer Cyclical,251320474620.0
6862,海底捞,餐饮,Consumer Cyclical,87233100000.0
0027,银河娱乐,赌场及博彩,Consumer Cyclical,177884757721.44
1876,百威亚太,酒精饮料,Consumer Defensive,100914685140.0
2020,安踏体育,服装,Consumer Defensive,221215276030.0
9633,农夫山泉,非酒精饮料,Consumer Defensive,565697259920.0
