code,name,plate,sector,market_cap
LIN,林德气体,特殊化工用品,Basic Materials,205.833B
SHW,宣伟公司,特殊化工用品,Basic Materials,89.219B
SCCO,南方铜业,铜,Basic Materials,148.215B
NEM,纽曼矿业,黄金,Basic Materials,125.355B
CRH,CRH水泥,建筑材料,Basic Materials,82.225B
CMCSA,康卡斯特,电信服务,Communication Services,109.643B
CHTR,特许通讯,电信服务,Communication Services,25.92B
AMT,美国电塔,电信服务,Communication Services,85.957B
TMUS,T-Mobile US,电信服务,Communication Services,209.688B
ORLY,奥莱利,汽车零件,Consumer Cyclical,80.105B
DASH,DoorDash,互联网零售,Consumer Cyclical,88.493B
ABNB,爱彼迎,旅游服务,Consumer Cyclical,79.995B
SBUX,星巴克,餐厅,Consumer Cyclical,105.739B
TSLA,特斯拉,汽车制造,Consumer Cyclical,1.455T
AMZN,亚马逊,互联网零售,Consumer Cyclical,2.556T
BKNG,Booking Holdings,旅游服务,Consumer Cyclical,165.806B
MELI,MercadoLibre,互联网零售,Consumer Cyclical,105.197B
EA,艺电,电子游戏与多媒体,Consumer Cyclical,51.084B
ROST,罗斯百货,服装零售,Consumer Cyclical,62.561B
WBD,Warner Bros Discovery,娱乐,Consumer Cyclical,70.846B
APP,Applovin,广告代理,Consumer Cyclical,192.383B
PDD,拼多多,互联网零售,Consumer Cyclical,
MAR,万豪酒店,住宿,Consumer Cyclical,88.463B
WMT,沃尔玛,折扣店,Consumer Defensive,954.35B
KDP,Keurig Dr Pepper,非酒精饮料,Consumer Defensive,37.239B
PEP,百事可乐,非酒精饮料,Consumer Defensive,200.323B
CCEP,可口可乐欧洲太平洋,非酒精饮料,Consumer Defensive,
COST,好市多,折扣店,Consumer Defensive,427.802B
KHC,卡夫亨氏,包装食品,Consumer Defensive,27.851B
MDLZ,亿滋,糖果,Consumer Defensive,74.065B
MNST,怪物饮料,非酒精饮料,Consumer Defensive,76.374B
WMB,威廉姆斯,油气中游,Energy,75.166B
EOG,EOG能源,油气勘探与开发,Energy,57.504B
MPC,马拉松原油,油气炼制与销售,Energy,53.395B
BKR,Baker Hughes,油气设备与服务,Energy,51.051B
FANG,Diamondback Energy,油气勘探与开发,Energy,43.793B
PGR,前进保险,保险,Financial Services,118.629B
